Category,Stakeholder,Product,Question,Answer
Digital Services,Digital Factory,gift service,How to troubleshoot a problem with a gift card:,"If you have any problem with your gift card, such as not being able to open the voucher, not receiving the confirmation email, or not being able to redeem it, please contact our customer support team at 1825555 and we will assist you as soon as possible."
Digital Services,Digital Factory,gift service,Exchange Gift Cards for cash:,"Are you wondering if you can exchange your gift card for cash? Unfortunately, this is not possible. According to Warba Bank, all gift cards cannot be exchanged or converted into cash. Furthermore, Warba Bank and the merchants are not liable for any lost, stolen, and misused gift cards."
Digital Services,Digital Transformation,AR & VR,Warba World:,"Have you heard of Warba World? It is The First-Ever Augmented Reality Adventure game that engages customers in financial literacy. Available to play on all smartphone devices, with no app download required."
Digital Services,Digital Transformation,AR & VR,WebAR and WebVR:,"Warba World utilizes WebAR and WebVR technology, which are short-hand terms for Web-based Augmented Reality and Web-based Virtual Reality. This technology utilizes the mobile web browser to deliver immersive content to users."
Digital Services,Digital Transformation,AR & VR,How to Play Warba World:,"To play Warba World, follow these simple steps:
1- Select an Avatar to start playing.
2- Allow access to device motion sensors to play Warba World.
3- Tap the screen to place Warba World on the screen.
4- A 3D map of Kuwait City will be displayed on the screen.
5- A pop up will show displaying how to play Warba World.
6- Upon clicking “Start,” the timer will begin to visit the landmarks and finish the tasks to score points."
Digital Services,Digital Transformation,AR & VR,Playing Warba World:,"You can play Warba World multiple times, and there are daily and weekly draws on valuable prizes when playing. To be eligible for the draws, follow these instructions:
Share your points as an Instagram story/post
Mention @Warba_Bank
Include the hashtag: #WarbaWorld
You can share your points multiple times"
Digital Services,Digital Transformation,AR & VR,Privacy of Warba World:,There’s no need to add any personal details when playing Warba World.
Digital Services,Digital Transformation,AR & VR,Eligibility of Warba World:,"Even if you are not a Warba Bank customer or live outside of Kuwait, you can still play Warba World. However, you cannot enter the draw unless you live in Kuwait."
Digital Services,Digital Transformation,AR & VR,Saving Progress of Warba World:,"Don't worry if your game session is interrupted! Before playing the game, make sure to click on “Save My Progress” so you can resume your session later."
Campaings,Digital Transformation,Rowad,Rowad Definition:,Warba Bank launched an internal innovation program called “Rowad” to cultivate a creativity driven culture. What started as an ideation program has evolved into a full-fledged 7-week innovation boot camp through continuous improvement.
Campaings,Digital Transformation,Rowad,Purpose of Rowad:,The idea is to introduce a unique innovation program in Kuwait that provides an opportunity for participants to work with mentors and solve real-world problems through coming up with innovative solutions in a competitive fashion.
Campaings,Digital Transformation,Rowad,Universities Participating of Rowad:,"In the previous round of Rowad, four teams from four different universities competed, including the American University of Kuwait, Australian University, Gulf University for Science & Technology, and Kuwait University."
Campaings,Digital Transformation,Rowad,Applying to Rowad:,"Once an upcoming round is announced, you will find instructions to apply. However, rules will depend on the targeted participant and program."
Campaings,Digital Transformation,Rowad,Coaching with Rowad:,"With every Rowad program, participants will be mentored by seasoned bankers and industry experts and coached through a leading international consulting firm that will serve as a program facilitator."
General Information,Retail,Call center,Reaching and contacting warba bank call center: ,"Customers can reach Warba Bank by contacting Warba Bank call center contact number: 1825555, International Number: +96522288888. you can also reach Warba Bank through Whatsapp: 51625555"
Services,P&S,Warba Concierge,"Warba Concierge:
What is Warba Concierge?","Warba Concierge offer a wide range of concierge services to cater to our customers' needs, including but not limited to:
•	Concierge Services
•	Personal Assistance
•	Messenger Services
•	Airport Services
•	On the Road Assistance
•	Limo Services
•	Valet Services
•	Shopping Assistance
•	Personalized Approach"
Services,P&S,Warba Concierge,"Warba concierge services access: 
Who can access warba concierge services?","AlSafwa, AlSafwa Plus, and AlMassy can access concierge services and personal assistance for free by calling the Warba Concierge Call Centre at 22969966."
Services,P&S,Warba Concierge,"Warba Concierge call center:
What is Warba Concierge call center? ","Al Safwa, Al Safwa Plus, Al Massy customers can access concierge services and personal assistance for free by calling the Warba Concierge Call Centre at 22969966."
Financing,Retail,Al Wafi financing,Al Wafi financing:,"Al Wafi financing is an innovative solution in compliance with Sharia principles for all customers wishing to receive financing in Musawama form. The financing reaches up to KD 250,000 against the invested collateral.
Get several benefits as you can obtain immediate finance between KD 5,000 and KD 250,000, also earn the returns associated with your collateral."
Financing,Retail,Al Wafi financing,Benefits of Al Wafi financing:,"Financing up to KD 250,000
Flexible payment periods where the customer chooses either the monthly payment or the end-of-term payment
Possibility of unfreezing the collateral throughout the financing period upon settlement"
Financing,Retail,Al Wafi financing,Conditions of Al Wafi financing:,"Customer shall be a Warba Bank customer
Minimum financing amount of KD 5,000 Maximum financing amount of KD 250,000
Settlement period shall not exceed 60 months"
Financing,Retail,Al Wafi financing,Collaterals of Al Wafi financing:,"Savings Account, Super Savings Account, AlSunbula Account, AlSunbula Fixed Deposit.
Collateral account shall have a balance of 100% of the financing amount plus profits."
Financing,Retail,Al Wafi financing,Required Documents for Al Wafi financing:,Civil ID
Cards,Cards Team,Withdrawing cash,Withdrawing cash from ATMs outside of Kuwait:,"You can withdraw cash through ATMs using your debit card and also through POS machines.
The fees for withdrawing and paying through POS in the salary and savings account for one transaction are 2.5% with the exchange rate difference, and for credit card withdrawals, the fees will be KD 6 and 2.5% in addition to the exchange rate difference for cash operations only. As for cash operations Points of sale 2.5% in addition to the exchange rate difference.
Before traveling, it is required to submit travel notifications in order to avoid stopping the card by contacting 1825555."
Digital Services,Digital Factory,Pay Me link,"Send a Pay Me link steps:
How can customers send a Pay Me link?","Customers can send Pay Me link through the Warba App by following the steps below:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose Pay Me  
4.	Select if you want to send to individual or split bill
5.	Enter the payer phone number and name 
6.	Choose the amounts 
7.	Which account would you like to receive the money in 
8.	Choose the language for your request 
9.	Enter a Description
10.	Accept Terms & Conditions 
11.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Apple Pay,Apple Pay service:,"Apple Pay is a mobile contactless payment solution that enables customers to make in-store, in apps, and on the web purchases with select Apple devices. You can use Apple Pay everywhere contactless payments are accepted. For more details please visit the website https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/apple-pay
Add Card to Apple Pay:
1- Log in to your account on Warba Bank app and click ""Services""
2- Click ""Learn More"" at the Apple pay box on the top of the screen
3- Select the card you wish to add to your Apple Wallet
4- Click on “Add to Apple Wallet”
5- Select the device you wish to add your card to
6- Make sure the name and card number are correct
7- Read the terms and conditions and click “Agree”
8- Select the number you wish to receive the verification code on and click “Next”
9- Enter the code received via SMS and click “Next”.
10- The card is successfully added, if you wish to make this card your default card please click on “Use as default card”"
Digital Services,Digital Factory,Apple Pay,Using Apple Pay for Payments:,"For Apple Pay payments, simply double-click the side button, authenticate using Face ID or a passcode, swipe to choose the card, and hold the device near the POS machine. For more details please visit the website: https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/apple-pay"
Digital Services,Digital Factory,Apple Pay,Card Eligible for Apple Pay:,"All Mastercard's debit and credit cards. (Excluding SiDi, Corporate customers, and Multicurrency card)"
Digital Services,Digital Factory,Samsung Pay,Samsung Pay:,"Samsung Pay for fast and contactless payments. All you have to do is add your Warba Mastercard Credit card to your Samsung mobile device and enjoy seamless payments at any POS terminal inside or outside of Kuwait.
For more details please visit the website https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/samsung-pay"
Digital Services,Digital Factory,Samsung Pay,Payments using Samsung Pay:,"1- Initiate Samsung Pay by either swiping-up from the home button or opening the Samsung Pay app from the home screen
2- Select the card you want to pay with by swiping left or right
3-Verify with your fingerprint or PIN and direct your phone to either the card reader or NFC reader to complete the transaction"
Digital Services,Digital Factory,Samsung Pay,Samsung Pay Eligibility:,"Customers eligible to use Samsung Pay:
- This service is accessible to all Warba Bank customers with an active Mastercard or Credit Card
- Any customer using a Samsung Pay enabled Samsung Galaxy Mobile Phone or Galaxy Watch device"
Digital Services,Digital Factory,Garmin Pay,Garmin Pay:,"Garmin Pay is a solution designed for people who are always on the move. Whether you grab a cup of coffee after your morning run or get a bite to eat while out on a ride, Garmin Pay lets you make purchases quickly and almost effortlessly with nothing needed but your watch.
For more details please visit the website https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/garmin-pay"
Digital Services,Digital Factory,Garmin Pay,Payments using Garmin Pay:,"1- Press and hold the light key to bring up the control’s menu.
2- Select the wallet icon.
3- Enter your 4 digits passcode if prompted (you will be required to enter your passcode every 24 hours or each time you remove the Garmin device from your wrist and wear it again)
4- Choose the card you want to pay with by scrolling up or down on the watch screen.
5- To pay, hold your wrist near the contactless terminal in the store.
6- When the payment succeeds, a green tick mark will appear on the screen"
Digital Services,Digital Factory,Garmin Pay,Garmin Pay Eligibility:,"This service is accessible to all Warba Bank customers with an active Mastercard credit card
Who have a Garmin watch enabled for payment services"
Digital Services,Digital Factory,Google Wallet,Google Wallet:,"Google Wallet is a digital wallet service that allows you to make fast payments securely in-store, in-app and eCommerce using your cards. For more details please visit the website page: https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/google-wallet"
Digital Services,Digital Factory,Google Wallet,Google Wallet Usage:,"1- Download Google Wallet™ from Google Play store
2- Open the Google Wallet™ and Tap ‘Add to Wallet’ and follow the instructions
3- Take a picture of your card or enter the card details
4- Accept the Terms & Conditions
5- Complete the Verifications process
6- Card has been added to Google Wallet™"
Digital Services,Digital Factory,Google Wallet,Google Wallet Eligibility:,All Warba Bank Mastercard Credit Card holders using near field communication (NFC) enabled Android Lollipop 5.0 abd above devices can use Google Wallet.
Digital Services,Digital Factory,Fitbit Pay,Fitbit Pay:,"Fitbit Pay is a contactless payment solution that lets you make payments on the go directly from your wrist with select Fitbit smartwatches and trackers, adding convenience to your life and freedom to leave your smartphone and wallet at home.  For more details please visit the website: https://www.warbabank.com/english/personal/what-we-offer/fintech-first-or-digital-enablers/fitbit-pay"
Digital Services,Digital Factory,Fitbit Pay,"
Fitbit Pay Eligibility:","Supported Fitbit smartwatches and trackers are:
Fitbit Sense
Fitbit Versa 3
Fitbit Versa 2
Fitbit Charge 4
Fitbit Ionic
Fitbit Versa
Fitbit Charge 3 Special Edition"
Digital Services,Digital Factory,Fitbit Pay,Fitbit Pay Payments:,"You can pay with Fitbit Pay by following hte following steps:
- Unlock the device by pressing the side button on the Fitbit smartwatches and trackers to bring up the lock screen and enter the 4 digit pin to unlock.
- Select the card & select preferred pre-configured card. You can set the default card in the Fitbit App.
- Tap your Fitbit device on any NFC enabled POS Machine to make a payment.
- You will receive a transaction confirmation on the Fitbit smartwatches and trackers and a push notification on Fitbit App.
- Track recent Fitbit Pay purchases and manage cards in the Fitbit App."
Social Media,PR,Social media Accounts,Social media Accounts in Warba Bank:,"You can reach warba bank in social media through two channels Instagram and Twitter: 
- Warba Bank Instagram account is: https://www.instagram.com/warba_bank/
- Warba Bank Twitter account is: https://twitter.com/warbabank"
Social Media,PR,Twitter account,what is warba bank Twitter account?,Warba Bank Twitter account is: https://twitter.com/warbabank
Social Media,PR,Instagram account,"
what is warba bank Instagram account?",Warba Bank Instagram account is: https://www.instagram.com/warba_bank/
General Information,Retail,Branch & ATM Locations,How many deposit ATMs are there for Warba Bank?,There are 20 Deposit ATMs located around Kuwait
General Information,Retail,Branch & ATM Locations,Where are the deposit ATMs located?,"There are 20 Deposit ATMs located around Kuwait: 
Shuhada Deposit ATM
Hawally Deposit ATM
Mangaf Deposit ATM
Fahaheel Deposit ATM
Avenues Deposit ATM
Jahra Deposit ATM
Salmiya Deposit ATM
Farwaniya Deposit ATM
West Mishref Deposit ATM
Egaila Deposit ATM  
Airport T4 - ATM 1
Airport T4 - ATM 2
Jahra Deposit ATM
Kaifan Deposit ATM
Arraya Deposit ATM
Adailiya Branch Deposit ATM
Jaber Al Ali Deposit ATM
Jaber Al Ahmad Deposit ATM
Abu Fatira Deposit ATM
Al Adan Deposit ATM"
Draws,P&S,Bloom Draw,What is bloom draw?,"Bloom customers will be eligible to participate in the monthly draw where 5 winners will be announced and 1st winner will win KD 500, 2nd winner will win KD 200, and 3rd to 5th winner will win KD 100 each in a form of Pocket points. "
Segments,P&S,W Segment,W segment eligibility criteria and Benefits:,"
For customers in the W segment, the eligibility criteria is a salary range of KD 500 to KD 1,499 and the benefits of W segment include:
Free issuance of a Platinum Mastercard for the first year.
Free issuance of a Visa Prepaid for the first year.
Instant issuance of an ATM card with a unique design.
An ATM cash withdrawal limit from ATMs of up to KD 2,000 daily."
Draws,P&S,Bloom Draw,What are the bloom monthly draw prizes?,"Bloom Monthly draw prizes (Every Wednesday):
- 1st Prize is KD 500
- 2nd Prize is KD 200
- 3rd Prize is KD 100
- 4th Prize is KD 100
- 5th Prize is KD 100
Total Amount for monthly prize is KD 1,000 "
Draws,P&S,Bloom Draw,How many student allowance hits are required prior to participating the monthly allowance draw for Bloom?,at least one student allowance should be credited in the account to participate in the draws
Draws,P&S,Bloom Draw,Can winners of the bloom monthly draw win again?,Bloom customers will be eligible to win once a year to give a chance for all 
Draws,P&S,Bloom Draw,How can I increase my chances in the bloom monthly draw?,All students who have transferred their student allowance to Warba Bank will have an equal chance of winning
Draws,P&S,Bloom Draw,When will the bloom monthly draw take place?,"Draws take place every first Wednesday of the month at 11:00 AM in presence of the representative of MOCI (Ministry of Commerce and Industry), however, if the day coincides with a national holiday, the draw will be rescheduled accordingly in coordination with MOCI"
Digital Services,Digital Factory,Pocket ,How can you calculate pocket points,
Accounts,Digital Factory,Gold Account,Gold Account Details:,"Who can open a gold account?
Any Warba Bank registered customer who is 21 years old and above.

How can I open a gold account?
1.	Open Warba Online App
2.	Choose open Gold account from the services tab
3.	Accept Terms & Conditions 
4.	Confirm the transaction with your Warba app password

Can I open a gold account without buying gold?
Yes, the account can be opened without buying gold. This will give the user access to view the gold bars available for sale.

Are there any fees for opening a gold account?
No, the account is opened free of charge.

How can I view gold account terms and condition?
Gold account terms and condition are stated clearly in both Arabic & English before account opening.

What happens if I keep my gold account open for 180 consecutive days with 0 balance?
The account will be closed after 180 consecutive days of inactivity and 0 balance. 

What is the information shown in the account details?
The user can view account details in ‘Details’ button, [Account name, Account Type and Date opened] including total Gold and Approx. Selling value

What other details can be viewed in main Gold Account page? 
The user can view Account statement, Order history and more information about Gold Account"
Accounts,Digital Factory,Gold Account,What are the terms and conditons in opening a gold account?,"Terms & Conditions
Available for all current Warba Bank customers 21 years old and above.
Only available in KWD
Each customer will be eligible to open only one Gold Account 24k
All activities are based on “spot,” instant buying and selling transactions.
Gold delivered to the customer cannot be deposited into the account.
The maximum Gold that can be held in the account is 5 KG.
Gold Accounts with zero balance will be automatically closed after 180 days of inactivity."
Accounts,Digital Factory,Gold Account,Gold Type:,"The gold bars offered are either Swiss (PAMP or Valcambi) or Emirati (Etihad) both are 24 Karat with 999.9 purity
All bars are certified and guaranteed by the Ministry of Commerce.
Gold bars available range from 1 to 1,000 Grams.
Only full gold bars with serial number are sold (no partial weight selling).

Gold Denominations available for the Swiss, the bars start from 1g. For the Emirati it starts from 250g
We only offer gold bars that are available with an official serial number. Based on demand such bars might be not listed in the selection menu due to unavailability of required item. 
The gold denominations re-stocking happens twice a week. You can always revisit the gold account menu later to view whenever the required denomination is restocked."
Accounts,Digital Factory,Gold Account,Buying Gold:,"How do I buy gold?
Go to the main menu in gold account, click on “Buy Gold” which will give you the choices from the selection of Gold Bars available (Swiss or Emirati) you can follow the following steps:
1.	Open Warba Online App
2.	Choose your Gold account  
3.	Choose buy Gold
4.	Select Gold bars 
5.	Choose review order
6.	Choose continue to pay 
7.	Choose which account would you like to buy from
8.	Confirm the transaction with your Warba app password

What is the minimum amount of gold that I can buy?
For the Swiss, the bars start from 1g. For the Emirati it starts from 250g.

What is the maximum amount of Gold that I can buy?
You can purchase up to 5 Kg.

When do I get the serial numbers for the gold?
you can get the gold serial number whenever the order is accepted and completed.

What are the Warba Bank Fees for the gold?
Warba Bank fees for the gold Is 0.200 KD per 1 gram of gold.

Why is the gold bar price being higher than the calculation (Gold weight X Gold Buy Price)?
The prices include Warba Bank fees and gold making charges.

Why is the gold price different on the review page?
The actual price will be showing in review page, which refreshed every 15 seconds.
However, the previous steps were estimated price only.

How long will the price of gold be kept for completing the transaction?
3 minutes from starting the buying order process.

Can I review the buying order before purchasing?
Yes, you can review the final price before purchasing attempt refreshed every 15 seconds according to Gold global market pricing.

What happens if the time runs out before completing the password screen?
The price will be recalculated according to the update buying gold rates"
Accounts,Digital Factory,Gold Account,Gold Storage:,"Where will the gold be stored?
The gold will be stored, insured and under Dar Alsabaek premise located in Kuwait City – Baitik tower 1st floor in special vault dedicated for Warba bank customers.

What are the security measures of the special vault?
All security measures are in place as it insured fully by Kuwait Insurance Company.

Can a customer go directly to Dar Al Sabaek to pick up the gold?
No, the delivery option can be only requested through Warba application.

Are there any storage fees?
There are no storage fees, however administrative fees are 10KD/annually is applicable starting from the second year of account activation
"
Accounts,Digital Factory,Gold Account,Selling Gold:,"How do I sell gold?
In Gold account main menu, you can click on “Sell gold” option. The user then will select the gold bar to be sold.
you can follow the following steps:
1.	Open Warba Online App
2.	Choose your Gold account  
3.	Choose Sell Gold
4.	Select Gold bars 
5.	Choose review order
6.	Choose continue to pay 
7.	Choose which account would you like to receive money into 
8.	Confirm the transaction with your Warba app password

Can I choose which serial numbers to sell?
Yes, you can choose one of the serials available on your gold account.

Who is responsible for selling the gold?
In partnership with Dar Alsabaek, they will be responsible for fulfilling the selling order
according to selling price shown in the Warba Bank Application and based on Gold Global
market prices. 

Why are some of my gold bars cannot be sold?
The gold can be sold after 12 hours from purchasing, not before that.

Why is the gold bar selling price is higher than the calculation (Gold weight X Gold Buy Price)?
Yes, you can choose which account to be credited for selling your gold bars before selling
order completion.

Can I review the selling order? 
Yes, you can review the final selling price before selling step refreshed every 15 seconds
according to Gold global market pricing. A password verification step is required before
selling order. "
Accounts,Digital Factory,Gold Account,Gold Delivery:,"When can I place a delivery request?
After 12 hours from gold purchasing by clicking “Deliver Gold” in gold account home screen.
you can follow the following steps:
1.	Open Warba Online App
2.	Choose your Gold account  
3.	Choose deliver Gold
4.	Select order to deliver
5.	Choose review order
6.	Choose continue to deliver details 
7.	Choose yes remove the order 
8.	Update your deliver address 
9.	Choose which account you want to pay delivery fees from
10.	Confirm the transaction with your Warba app password

Can I deliver only 1 bar only?
Yes, the customer can choose which gold bar is to be delivered defined by unique serial
number.

How do I check delivery status?
Delivery status tag will be updated accordingly on the delivered item.

Which contact number will be used for the delivery requests?
The trusted gold delivery service will be in contact with you on your defined contact number

Is the delivery secured?
The gold delivery is managed and controlled by one of the most known Courier company’s specialized in Gold
and valuable goods delivery agency ‘Alraed Security’.

How much is delivery charges?
6KD is the delivery charges per delivery order.

Why am I charged for “failed” deliveries?
According to Dar Al Sabaek and Alraed Security terms and conditions, delivery charges are
not refunded even when the customer failed to receive them.

Can I specify my address details for delivery?
Before submitting ‘gold delivery’, you should fill your address details according to your
location.

How long will take to deliver my gold bar?
Delivery will take place within 48 hours from initiating successful delivery request.

Who will be contacting me on delivery? 
The trusted delivery personnel from ‘Alraed Seurity” will contact you to deliver your gold
based on your prefer time/date and your availability.

What are the prerequisites to receive the gold bar upon delivery?
You should receive it in person by presenting your valid Civil ID."
Accounts,Digital Factory,Gold Account,Gold Order History:,"What is the information stored for each gold bar?
Gold type, Serial Number, Gold quantity, Buy/sell prices.
you can follow the steps below:
1- Open Warba Online App
2- Choose your Gold account  
3- Choose orders history

What is the information shown under the Purchased Tab?
Gold type, Serial Number, Gold quantity, purchase prices.

What is the information shown under the Sold Tab?
Gold type, Serial Number, Gold quantity, Sold price.

What is the information shown under the Deliveries Tab?
Gold type, Serial Number, Gold quantity, purchased prices, Delivery status.

"
Accounts,Digital Factory,Gold Account,Gold Account Statement:,"What details in can review in account statement?
Gold type, Order ID number, gold weight, Quantity filtered by Buy/Sell/Delivery orders.
you can follow the steps below:
1.Open Warba Online App
2.Choose your Gold account  
3.Choose get statement 
4.Select period 
5.Choose view

What is the information shown under the account statement in Warba Bank application?
Full account statement that details your transactions - by filter by period,
buying/selling/delivery transactions. 

Can I review my gold account statement in Arabic?
Your account statement is available in both Arabic and English depends on your preferred
selected language in Warba Bank application

How can I have physical account statement (On paper)?
You can request gold account statement by visiting one of Warba bank branches."
Digital Services,Digital Factory,Mobile Bill Payments,Schedule Mobile Payments:,"Schedule Mobile payment  : This service allow you to pay your mobile number every month with selected data  
Steps:
1.	Open Warba Online App
2.	Go to Services 
3.	Choose mobile payment  
4.	Select schedule payment 
5.	Choose create new schedule 
6.	Choose one of your predefine mobiles  
7.	Enter the amount
8.	Choose the account you want to pay from
9.	choose pay on day 
10.	Confirm the transaction with your Warba app password "
General Information,Strategy,Sustainability Report,Sustainability report for 2022,"Warba Bank issued its first sustainability report for the year 2022 on environmental, social and governance (ESG) practices, which provides an accurate account of the focused and wide-ranging efforts of the Bank's practices related to environment, social and governance throughout 2022. You can read the full report by clicking the following link:
https://ir.directfn.com/filecontent//58E020FB-D307-4604-A502-9E756CA3ED6C.pdf"
Financing,Retail,Consumer Financing,Consumer Financing and Benefits:,"You can now own a car, boat, furniture, electronics and others. In compliance with Sharia principles consumer finance, achieving your goals has become easier than ever. Simply specify your needs and we will finance you to buy them with the best competitive profit rates in the market. 
Benefits:
Financing up to KD 25,000
Flexible monthly instalments starting KD 30
Salary transfer is not required
No down payment required
Up to 6 months grace period"
Financing,Retail,Consumer Financing,Consumer Financing conditions:,"Consumer Financing Conditions:
Customer shall be 18 years or above
If the customer is below 21 years old, his guardian shall sign on his behalf
Customer salary shall not be less than KD 300
Monthly instalments for employees shall not exceed 40% of the net salary including all commitments (and 30% for retired customers)
Minimum financing of KD 1,000 and a maximum of KD 25,000
Shortest payment period of 6 months up to 60 months"
Accounts,P&S,Super Savings,Super Savings Expected Returns:,"Account Balance	Expected Rate
From	To
-	Less than KD 1,000	0.125%
KD 1,000	KD 9,999	0.25%
KD 10,000	KD 29,999	0.50%
KD 30,000	Above	0.75%"
Accounts,P&S,Sunbula Kids Account,AlSunbula Kids Account Eligibility,"AlSunbula Kids Eligibility:
Exclusively for customers less than 15 years old.
Minimum account opening balance KD 10"
Accounts,P&S,Sunbula Kids Account,AlSunbula Kids Account Benefits,"AlSunbula Kids Benefits:
Competitive expected returns distributed quarterly.
Instant issuance of debit card.
Account can be linked via Family account service for easy management.
Easily schedule and automate deposits to your kid’s account.
The account and process has been approved by the Sharia committee as the prizes are not deducted from the customer’s account."
Accounts,P&S,Sunbula Kids Account,AlSunbula Kids Account Conditions,"Conditions:
Al-Sunbula Kids Savings account is exclusive for individuals.
Account currency is Kuwaiti Dinars only.
The amount must remain in the account one full calendar month in order to participate in the monthly draws.
The amount must remain in the account two full calendar months in order to participate in Al-Sunbula Mega draw.
Winners of the monthly draw will be excluded for 3 months.
Winner of the Mega draw will be excluded from the other Mega draws within the campaign."
Accounts,P&S,Sunbula Kids Account,AlSunbula Kids Account required documents,Civil ID
App Services,Digital Factory,Create Mobile Account ,Create Mobile Account:,"Create Mobile Account Steps:
1- Select Open Al Sunbula Account for non Warba customers or Register Online Banking for existing customers.
2- Accept the terms and conditions.
3- Enter account number.
4- Enter Civil ID number.
5- Enter Mobile number.
6- Enter the code you see 
7- Setup up your 3 security question 
8- Select a security image & enter a caption for your image 
9- Create a password  "
Digital Services,Digital Factory,Pay Me link,Pay Me Link Limits:,"Pay Me Link Limits:
Minimum top-up amount per transaction is KD 5
Maximum top-up amount per transaction is KD 3000
Maximum accumulative top-up amount per day is KD 3000
Maximum accumulative top-up amount per month is KD 15000
Maximum number of pay me links in one day is 10 links
Maximum number of pay me links in one month is 50 links"
,,,,
Digital Services,Digital Factory,Online Transfers,Online Transfer Limits:,"Online Transfer Limits:
Online bank transfer limits between Warba Customers:
Minimum transfer amount is KD 1
Maximum transfer amount is KD 10000

Local bank transfer limits are:
Minimum transfer amount is KD 10
Maximum transfer amount is KD 10000

International transfer limits are:
Minimum transfer amount is or equivalent of KD 50
Maximum transfer amount is or equivalent of KD 10000"
Digital Services,Digital Factory,Super Transfer,Super Transfer Limits:,"Super Transfer limits are:
Maximum accumulative transfer amount per day is KD 2500
Maximum accumulative transfer amount per month is KD 37500"
Digital Services,Digital Factory,Western Union,Western Union Limits:,"Western Union Transfer limits are:
Maximum number of transactions in one day is 3 transactions.
Maximum number of pay me transactions in one month is 7 transactions.
Minimum transfer amount per transaction is KD 10
Maximum transfer amount per transaction is KD 2000
Maximum accumulative transfer amounts per day KD 3000"
Digital Services,Digital Factory,Super Transfer,Super Transfer Steps:,"Steps:
1- Open Warba Online App
2- Choose the account you want to transfer from
3- Choose Super Transfer 
4- Select the Beneficiary
5- Choose the amount
6- Choose the purpose of the transfer
7- Accept terms & Conditions
8- Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Online Transfers,Online Transfer Steps:,"Steps:
1.	Open Warba Online App
2.	Choose the account you want to transfer from
3.	Choose Transfer 
4.	Select the Beneficiary
5.	Choose the amount
6.	Choose the purpose of the transfer
7.	Accept terms & conditions
8.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Activate Cards Service,How to activate debit cards?,"Steps to activate debit cards:
1.	Open Warba Online App
2.	Choose the Account you want to activate his card 
3.	Choose Activate Debit Card 
4.	Enter Your Debit Card details 
5.	Create a new PIN code
6.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,My Credit Cards,Pay Card:,"Steps:
1.	Open Warba Online App
2.	Choose the card you want to pay 
3.	Choose pay card
4.	Choose the account you want to pay from
5.	Choose the amount outstanding balance or another amount)
6.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,My Credit Cards,Report lost/stolen card:,"Report lost/stolen card : This service allow you to stop your cards temporary or permanently 

Steps:
1- Open Warba Online App
2- Choose the card you want to report 
3- Choose report lost/stolen
4- Choose the reason to stop the card
5- Choose if you want replace card
6- Review and confirm 
7- Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,My Credit Cards,Reset PIN:,"Reset PIN : This service allows you to change your cards PIN

Steps:
1.	Open Warba Online App
2.	Choose the card you want to reset pin  
3.	Enter the card digits 
4.	Enter the new pin and confirm it 
5.	Enter the 5-digit OTP send to your phone number 
6.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,My Credit Cards,Request Supplementary Card:,"Request Supplementary Card : 
Steps:
1.	Open Warba Online App
2.	Choose the card you want to Request Supplementary Card for
3.	Choose Request Supplementary Card 
4.	Choose the card type and apply
5.	Choose the account you want the card to be link to 
6.	Enter the name for the supplementary cardholder and how much you like to share in percentage 
7.	Enter Email address and any comment 
8.	Confirm the transaction with your Warba app password"
Digital Services,Digital Factory,Hassala,Top-up Hassala:,"Top up : This service allow you to top up your Hassala from your account 
Steps:
1.	Open Warba Online App
2.	Choose the Hassala you want to Top Up 
3.	Choose the account you like to Top Up from
4.	Choose the amount 
5.	Select a description"
,Digital Factory,Hassala,Manage Hassala:,"Manage : This service allow you to change your Hassala information 
Steps: 
1.	Open Warba Online App
2.	Choose the Hassala you want to manage
3.	You can change the name of your Hassala and photo 
4.	Choose Funding methods for your Hassala "
,Digital Factory,Hassala,Withdraw from Hassala:,"Withdraw : this service allow you to transfer money from your hassala to your account  
Steps:
1.	Open Warba Online App
2.	Choose the Hassala you want to withdraw from
3.	Choose Withdraw 
4.	Choose the reason for withdrawing 
5.	Choose the account you want to transfer to 
6.	Choose the amount 
7.	Add a description"
Digital Services,Digital Factory,Hassala,Break Hassala:,"Break Hassala : This service allow you to break your Hassala and transfer all the amount to your account you choose 
Steps :
1.	Open Warba Online App
2.	Choose the Hassala you want to break
3.	Choose break Hassala 
4.	Choose the account you want to transfer to 
5.	Add a description "
